Field,ID,Type (Type),default,en,ar,be,bg,ca,cs,da,de,el,es,eu,fa,fr,gl,hr,hu,hy,id,it,ja,ka,ko,lt,nl,pl,pt,pt-br,ro,ru,sk,sq,sv,th,tr,uk,zh-cn,zh-hk,zh-tw
MobileScreenshotCaption1,250,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption2,251,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption3,252,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption4,253,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption5,254,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption6,255,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption7,256,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption8,257,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption9,258,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption10,259,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption11,260,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption12,261,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption13,262,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption14,263,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption15,264,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption16,265,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption17,266,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption18,267,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption19,268,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption20,269,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption21,270,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption22,271,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption23,272,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption24,273,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption25,274,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption26,275,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption27,276,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption28,277,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption29,278,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobileScreenshotCaption30,279,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot11,310,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot12,311,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot13,312,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot14,313,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot15,314,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot16,315,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot17,316,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot18,317,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot19,318,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot20,319,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot21,320,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot22,321,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot23,322,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot24,323,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot25,324,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot26,325,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot27,326,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot28,327,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot29,328,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshot30,329,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption1,350,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption2,351,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption3,352,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption4,353,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption5,354,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption6,355,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption7,356,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption8,357,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption9,358,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption10,359,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption11,360,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption12,361,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption13,362,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption14,363,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption15,364,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption16,365,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption17,366,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption18,367,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption19,368,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption20,369,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption21,370,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption22,371,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption23,372,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption24,373,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption25,374,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption26,375,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption27,376,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption28,377,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption29,378,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XboxScreenshotCaption30,379,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot11,410,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot12,411,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot13,412,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot14,413,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot15,414,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot16,415,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot17,416,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot18,417,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot19,418,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot20,419,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot21,420,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot22,421,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot23,422,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot24,423,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot25,424,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot26,425,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot27,426,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot28,427,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot29,428,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshot30,429,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption1,450,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption2,451,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption3,452,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption4,453,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption5,454,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption6,455,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption7,456,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption8,457,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption9,458,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption10,459,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption11,460,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption12,461,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption13,462,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption14,463,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption15,464,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption16,465,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption17,466,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption18,467,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption19,468,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption20,469,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption21,470,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption22,471,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption23,472,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption24,473,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption25,474,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption26,475,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption27,476,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption28,477,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption29,478,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HolographicScreenshotCaption30,479,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot11,510,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot12,511,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption11,560,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption12,561,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption13,562,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption14,563,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption15,564,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption16,565,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption17,566,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption18,567,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption19,568,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption20,569,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption21,570,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption22,571,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption23,572,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption24,573,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption25,574,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption26,575,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption27,576,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption28,577,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption29,578,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption30,579,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
